Date,IPO Name,Profile,Issue Size (in crores),QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,Listing Gains(%),CMP,Current  Gains (%)
24-03-21,Anupam Rasayan,https://www.moneycontrol.com/ipo/anupam-rasayan_ARI02.html,760,30.80,62.06,4.62,23.86,555.00,534.70,525.90,-5.24,723.10,30.29
19-03-21,Easy Trip,https://www.moneycontrol.com/ipo/easy-trip_ETP01.html,510,0.00,2.79,14.48,3.39,187.00,182.00,208.30,11.39,408.85,118.64
15-03-21,MTAR Tech,https://www.moneycontrol.com/ipo/mtar-tech_MT14.html,596.41,52.01,522.35,12.78,133.18,575.00,990.05,1082.25,88.22,"1,438.85",150.23
05-03-21,Heranba,https://www.moneycontrol.com/ipo/heranba_HI14.html,60,25.98,108.72,4.82,33.13,627.00,900.00,812.25,29.55,810.15,29.21
26-02-21,Railtel,https://www.moneycontrol.com/ipo/railtel_RCO01.html,819.24,22.03,51.40,7.08,20.68,94.00,109.00,121.40,29.15,139.00,47.87
25-02-21,Nureca,https://www.moneycontrol.com/ipo/nureca_N10.html,100,0.24,17.10,74.29,17.98,400.00,634.95,666.65,66.66,"1,728.35",332.09
05-02-21,Stove Kraft,https://www.moneycontrol.com/ipo/stove-kraft_SK02.html,412.63,8.02,32.72,26.04,18.03,385.00,498.00,445.95,15.83,772.15,100.56
03-02-21,Home First,https://www.moneycontrol.com/ipo/home-first_HFF.html,1153.72,52.53,39.00,6.59,26.66,518.00,612.15,527.40,1.81,600.00,15.83
02-02-21,Indigo Paints,https://www.moneycontrol.com/ipo/indigo-paints_IP07.html,1170.56,96.21,115.76,6.50,54.84,1490.00,2607.50,3118.65,109.31,"2,595.00",74.16
29-01-21,IRFC,https://www.moneycontrol.com/ipo/irfc_IRF.html,4633,0.89,0.52,1.59,1.16,26.00,25.00,24.85,-4.42,23.00,-11.54
01-01-21,Antony Waste,https://www.moneycontrol.com/ipo/antony-waste_AWH.html,300.53,0.64,0.28,7.22,3.85,315.00,430.00,407.25,29.29,344.95,9.51
24-12-20,Bectors Food,https://www.moneycontrol.com/ipo/bectors-food_MBF01.html,540.54,176.85,620.86,29.33,198.02,288.00,501.00,595.55,106.79,427.90,48.58
14-12-20,Burger King,https://www.moneycontrol.com/ipo/burger-king_BKI01.html,796.5,86.64,354.11,68.15,156.65,60.00,115.35,138.40,130.67,180.40,200.67
20-11-20,Gland,https://www.moneycontrol.com/ipo/gland_GP14.html,6479.55,6.40,0.51,0.24,2.06,1500.00,1710.00,1820.45,21.36,"3,920.00",161.33
02-11-20,Equitas Bank,https://www.moneycontrol.com/ipo/equitas-bank_ESF.html,517.6,3.91,0.22,2.08,1.95,33.00,31.00,32.75,-0.76,63.20,91.52
12-10-20,UTI AMC,https://www.moneycontrol.com/ipo/uti-amc_UA03.html,2159.88,3.34,0.93,2.32,2.31,554.00,476.20,476.60,-13.97,"1,042.05",88.10
12-10-20,Mazagon Dock,https://www.moneycontrol.com/ipo/mazagon-dock_MDS01.html,443.69,89.71,678.88,35.63,157.41,145.00,216.25,173.00,19.31,259.50,78.97
05-10-20,Angel Broking,https://www.moneycontrol.com/ipo/angel-broking_ABL03.html,600,5.74,0.69,4.31,3.94,306.00,275.00,275.85,-9.85,"1,186.85",287.86
01-10-20,CAMS,https://www.moneycontrol.com/ipo/cams_CAM.html,2244.33,73.18,111.85,5.55,46.99,1230.00,1535.00,1401.60,13.95,"3,344.45",171.91
01-10-20,Chemcon Special,https://www.moneycontrol.com/ipo/chemcon-special_CSC02.html,318,113.54,449.14,41.21,149.33,340.00,731.00,584.80,72,502.00,47.65
21-09-20,Route,https://www.moneycontrol.com/ipo/route_RML02.html,600,89.76,192.81,12.67,73.30,350.00,708.00,651.10,86.03,"2,063.10",489.46
17-09-20,Happiest Minds ,https://www.moneycontrol.com/ipo/happiest-minds-_HMT01.html,702.02,77.43,351.46,70.94,150.98,166.00,351.00,371.00,123.49,"1,361.65",720.27
23-07-20,Rossari,https://www.moneycontrol.com/ipo/rossari_RB04.html,496.25,2.75,4.34,2.51,2.97,425.00,670.00,742.35,74.67,"1,243.35",192.55
16-03-20,SBI Card,https://www.moneycontrol.com/ipo/sbi-card_SCP03.html,10286.2,57.18,45.23,2.50,26.54,755.00,658.00,683.20,-9.51,"1,036.45",37.28
30-12-19,Prince Pipes,https://www.moneycontrol.com/ipo/prince-pipes_PPF.html,500,3.54,1.21,1.89,2.21,178.00,160.00,166.60,-6.4,685.70,285.22
12-12-19,Ujjivan Small,https://www.moneycontrol.com/ipo/ujjivan-small_USF.html,750,110.72,473.00,49.09,165.68,37.00,58.75,55.90,51.08,28.80,-22.16
04-12-19,CSB Bank,https://www.moneycontrol.com/ipo/csb-bank_CB08.html,409.68,38.85,45.49,9.01,35.24,195.00,275.00,300.10,53.9,349.80,79.38
14-10-19,IRCTC,https://www.moneycontrol.com/ipo/irctc_IRC.html,635.04,108.79,354.52,14.94,111.95,320.00,644.00,728.60,127.69,"2,329.60",628.00
20-08-19,Sterling & Wils,https://www.moneycontrol.com/ipo/sterling-and-wils_SWS.html,3125,1.02,0.89,0.30,0.85,780.00,700.00,725.35,-7.01,286.10,-63.32
04-07-19,Indiamart Inter,https://www.moneycontrol.com/ipo/indiamart-inter_II22.html,474.12,30.83,62.13,14.07,36.21,973.00,1180.00,1302.55,33.87,"7,135.65",633.37
08-05-19,Neogen,https://www.moneycontrol.com/ipo/neogen_NC12.html,131.48,30.49,113.88,16.06,41.18,0.00,251.00,263.55,0,917.00,
15-04-19,Metropolis,https://www.moneycontrol.com/ipo/metropolis_MH09.html,1200.18,8.88,3.03,2.21,5.84,880.00,960.00,959.55,9.04,"2,855.00",224.43
11-04-19,Rail Vikas,https://www.moneycontrol.com/ipo/rail-vikas_RVN.html,430.88,1.36,0.80,2.92,1.82,19.00,19.00,19.05,0.26,29.65,56.05
01-04-19,Embassy Office,https://www.moneycontrol.com/ipo/embassy-office_EOP.html,4750,2.15,3.09,0.31,2.57,300.00,300.00,314.10,4.7,362.51,20.84
29-03-19,MSTC,https://www.moneycontrol.com/ipo/mstc_M14.html,213.81,1.13,2.15,2.95,1.46,128.00,111.00,114.20,-10.78,284.05,121.91
07-02-19,Chalet Hotels,https://www.moneycontrol.com/ipo/chalet-hotels_CH03.html,1628.84,4.66,1.10,0.03,1.57,280.00,291.00,290.40,3.71,176.35,-37.02
04-02-19,Xelpmoc Design ,https://www.moneycontrol.com/ipo/xelpmoc-design-_XDT.html,23,1.24,7.69,2.64,3.25,66.00,56.00,58.80,-10.91,418.90,534.70
08-10-18,AAVAS Financier,https://www.moneycontrol.com/ipo/aavas-financier_AF32.html,1729.2,2.77,0.26,0.25,0.97,821.00,758.00,773.15,-5.83,"2,523.30",207.34
23-08-18,CreditAccess Gr,https://www.moneycontrol.com/ipo/creditaccess-gr_CG02.html,1126.44,5.52,0.98,0.88,2.22,422.00,393.00,420.80,-0.28,662.45,56.98
30-07-18,TCNS Clothing C,https://www.moneycontrol.com/ipo/tcns-clothing-c_TCC.html,1121.98,13.47,5.08,0.67,5.27,716.00,715.00,657.80,-8.13,584.65,-18.34
02-07-18,RITES,https://www.moneycontrol.com/ipo/rites_R06.html,453.6,71.72,194.56,15.74,67.24,185.00,190.00,170.16,-8.02,276.90,49.68
02-07-18,Fine Organics,https://www.moneycontrol.com/ipo/fine-organics_FOI.html,597.87,12.86,21.01,1.62,8.99,783.00,815.00,822.80,5.08,"2,998.10",282.90
21-05-18,Indostar Capita,https://www.moneycontrol.com/ipo/indostar-capita_ICF01.html,1844,16.08,6.91,1.48,6.80,572.00,600.60,585.50,2.36,338.45,-40.83
05-04-18,ICICI Securitie,https://www.moneycontrol.com/ipo/icici-securitie_ISL03.html,4016,0.54,0.05,0.39,0.36,520.00,435.00,444.90,-14.44,731.60,40.69
04-04-18,Mishra Dhatu Ni,https://www.moneycontrol.com/ipo/mishra-dhatu-ni_MDN.html,438.38,1.96,0.12,0.72,1.21,0.00,93.10,90.00,0,190.65,
28-03-18,Hindustan Aeron,https://www.moneycontrol.com/ipo/hindustan-aeron_HAL.html,4229,1.73,0.03,0.39,0.99,1215.00,1159.00,1128.35,-7.13,"1,116.55",-8.10
27-03-18,Bandhan Bank,https://www.moneycontrol.com/ipo/bandhan-bank_BB09.html,4473,38.67,13.89,1.20,14.63,375.00,485.00,477.20,27.25,291.30,-22.32
23-03-18,Bharat Dynamics,https://www.moneycontrol.com/ipo/bharat-dynamics_BDL01.html,960.94,1.50,0.50,1.41,1.30,428.00,360.00,390.70,-8.71,419.90,-1.89
09-03-18,HG Infra Engg,https://www.moneycontrol.com/ipo/hg-infra-engg_HIE.html,457.7,8.37,4.97,3.08,4.98,270.00,270.00,270.05,0.02,528.50,95.74
26-02-18,Aster DM Health,https://www.moneycontrol.com/ipo/aster-dm-health_ADH.html,980.14,2.10,0.55,1.18,1.31,190.00,182.00,179.85,-5.34,163.30,-14.05
08-02-18,Galaxy Surfacta,https://www.moneycontrol.com/ipo/galaxy-surfacta_GSL06.html,937.09,54.67,6.96,6.00,20.00,1480.00,1525.00,1698.10,14.74,"3,120.00",110.81
30-01-18,Amber Enterpris,https://www.moneycontrol.com/ipo/amber-enterpris_AEI01.html,600,174.99,519.26,11.65,165.42,859.00,1175.00,1237.25,44.03,"2,992.30",248.35
29-01-18,Newgen Software,https://www.moneycontrol.com/ipo/newgen-software_NST01.html,424.62,15.62,5.52,5.18,8.25,245.00,256.00,253.00,3.27,609.00,148.57
22-01-18,Apollo Micro Sy,https://www.moneycontrol.com/ipo/apollo-micro-sy_AMS.html,156,101.93,958.07,40.19,248.51,275.00,478.00,454.10,65.13,115.90,-57.85
29-12-17,Astron Paper & ,https://www.moneycontrol.com/ipo/astron-paper-and-_APB.html,70,103.35,396.99,77.93,243.29,50.00,120.75,119.70,139.4,61.30,22.60
18-12-17,Future Supply,https://www.moneycontrol.com/ipo/future-supply_FSC.html,649.69,12.36,11.15,3.28,7.56,664.00,674.00,685.80,3.28,82.85,-87.52
15-12-17,Shalby ,https://www.moneycontrol.com/ipo/shalby-_SL17.html,504.8,4.34,0.42,2.98,2.82,248.00,237.00,239.25,-3.53,193.80,-21.85
17-11-17,HDFC Life,https://www.moneycontrol.com/ipo/hdfc-life_HSL01.html,8695.01,16.60,2.29,0.90,4.89,290.00,313.00,344.25,18.71,665.10,129.34
14-11-17,Khadim India,https://www.moneycontrol.com/ipo/khadim-india_KIL06.html,493.06,2.45,0.18,2.34,1.90,750.00,727.00,688.50,-8.2,293.85,-60.82
10-11-17,Mahindra Logist,https://www.moneycontrol.com/ipo/mahindra-logist_ML12.html,829.36,15.61,2.07,6.11,7.90,429.00,425.00,429.15,0.03,748.20,74.41
06-11-17,Nippon,https://www.moneycontrol.com/ipo/nippon_RNL.html,1542,118.41,209.44,5.23,81.33,252.00,289.00,284.00,12.7,399.95,58.71
25-10-17,General Insuran,https://www.moneycontrol.com/ipo/general-insuran_GIC12.html,11372,2.25,0.22,0.63,1.38,912.00,870.40,435.20,-52.28,180.15,-80.25
23-10-17,IEX,https://www.moneycontrol.com/ipo/iex_IEE.html,1000.7,2.56,0.85,2.61,2.28,1650.00,1500.00,162.65,-90.14,430.80,-73.89
16-10-17,Godrej Agrovet,https://www.moneycontrol.com/ipo/godrej-agrovet_GA08.html,1157.31,150.96,236.04,7.67,95.41,460.00,615.00,595.55,29.47,694.00,50.87
05-10-17,Prataap Snacks ,https://www.moneycontrol.com/ipo/prataap-snacks-_PS20.html,481.94,76.89,101.15,7.62,46.97,938.00,1250.00,1178.30,25.62,740.00,-21.11
03-10-17,SBI Life Insura,https://www.moneycontrol.com/ipo/sbi-life-insura_SLI03.html,8400,12.56,0.70,0.81,3.55,700.00,735.00,708.00,1.14,"1,099.70",57.10
27-09-17,ICICI Lombard ,https://www.moneycontrol.com/ipo/icici-lombard-_ILG.html,5700.94,8.93,0.83,1.23,2.98,661.00,651.00,681.55,3.11,"1,475.60",123.24
25-09-17,Capacite Infra,https://www.moneycontrol.com/ipo/capacite-infra_CI31.html,400,131.32,638.05,17.57,183.03,250.00,360.00,342.40,36.96,228.35,-8.66
21-09-17,Matrimony.com,https://www.moneycontrol.com/ipo/matrimony.com_M13.html,501.07,1.88,0.41,18.16,4.44,985.00,985.00,901.20,-8.51,"1,154.60",17.22
18-09-17,Dixon Technolog,https://www.moneycontrol.com/ipo/dixon-technolog_DT07.html,599.28,134.66,345.62,9.46,117.27,1766.00,2725.00,578.56,-67.24,"4,300.95",143.54
18-09-17,Bharat Road Net,https://www.moneycontrol.com/ipo/bharat-road-net_BRN.html,600.65,1.33,1.63,5.16,1.75,205.00,205.00,208.15,1.54,34.80,-83.02
04-09-17,Apex Frozen,https://www.moneycontrol.com/ipo/apex-frozen_AFF.html,152.25,1.91,7.82,8.53,6.14,175.00,202.00,209.85,19.91,377.20,115.54
11-08-17,Cochin Shipyard,https://www.moneycontrol.com/ipo/cochin-shipyard_CS17.html,1454,63.51,288.87,8.12,76.06,432.00,461.00,522.00,20.83,376.45,-12.86
10-08-17,SIS,https://www.moneycontrol.com/ipo/sis_SIS07.html,362.25,5.64,1.65,18.67,6.92,815.00,875.00,378.35,-53.58,485.00,-40.49
25-07-17,Salasar Techno ,https://www.moneycontrol.com/ipo/salasar-techno-_STE02.html,35.87,0.00,487.18,58.59,277.28,108.00,259.45,272.10,151.94,342.00,216.67
10-07-17,AU Small Financ,https://www.moneycontrol.com/ipo/au-small-financ_ASF03.html,1912.51,78.77,143.51,3.52,53.60,358.00,544.00,541.20,51.17,"1,219.90",240.75
04-07-17,GTPL Hathway,https://www.moneycontrol.com/ipo/gtpl-hathway_GH02.html,484.8,1.48,2.48,0.99,1.53,170.00,170.00,171.65,0.97,191.35,12.56
30-06-17,CDSL,https://www.moneycontrol.com/ipo/cdsl_CDS.html,523.99,148.71,563.03,23.83,170.16,149.00,250.00,261.60,75.57,"1,331.45",793.59
29-06-17,Eris Life,https://www.moneycontrol.com/ipo/eris-life_EL01.html,1741.1,4.68,0.45,3.51,3.29,603.00,612.00,601.05,-0.32,792.10,31.36
27-06-17,Tejas Networks,https://www.moneycontrol.com/ipo/tejas-networks_TN.html,326.69,2.16,0.48,3.10,1.88,257.00,257.70,263.30,2.45,258.30,0.51
06-06-17,IndiGrid InvIT ,https://www.moneycontrol.com/ipo/indigrid-invit-_IIF01.html,2250,1.14,1.60,0.00,1.35,100.00,99.70,95.08,-4.92,141.25,41.25
29-05-17,PSP Projects,https://www.moneycontrol.com/ipo/psp-projects_PP33.html,211.68,8.38,10.39,6.47,8.58,210.00,195.00,208.95,-0.5,464.75,121.31
19-05-17,HUDCO,https://www.moneycontrol.com/ipo/hudco_HUD.html,1224,55.45,330.36,10.79,79.53,58.00,76.50,72.50,25,45.30,-21.90
09-05-17,S Chand and Co,https://www.moneycontrol.com/ipo/s-chand-and-co_CCL04.html,325,44.27,204.65,6.07,59.49,670.00,675.85,675.85,0.87,141.00,-78.96
05-04-17,Shankara Buildi,https://www.moneycontrol.com/ipo/shankara-buildi_SBP02.html,232.96,51.62,90.68,15.35,41.88,460.00,545.00,632.80,37.57,654.25,42.23
31-03-17,CL Educate,https://www.moneycontrol.com/ipo/cl-educate_CE10.html,238.95,3.65,0.21,1.63,1.90,500.00,398.00,417.90,-16.42,159.65,-68.07
21-03-17,Avenue Supermar,https://www.moneycontrol.com/ipo/avenue-supermar_AS28.html,1870,144.61,277.74,7.30,104.48,299.00,604.00,640.75,114.3,"3,500.55",1070.75
17-03-17,Music Broadcast,https://www.moneycontrol.com/ipo/music-broadcast_MB04.html,488.53,39.78,109.13,9.85,39.67,333.00,413.00,59.70,-82.07,24.60,-92.61
03-02-17,BSE Limited,https://www.moneycontrol.com/ipo/bse-limited_B03.html,1243,48.64,159.03,6.48,51.22,806.00,1085.00,1069.20,32.66,"1,248.80",54.94
19-12-16,Laurus Labs,https://www.moneycontrol.com/ipo/laurus-labs_LL06.html,560.7,10.54,3.57,1.58,4.53,428.00,489.90,96.10,-77.55,640.65,49.68
09-12-16,Sheela Foam,https://www.moneycontrol.com/ipo/sheela-foam_SF30.html,178.5,14.51,3.35,0.44,5.09,730.00,860.00,1032.00,41.37,"2,385.00",226.71
08-11-16,Varun Beverages,https://www.moneycontrol.com/ipo/varun-beverages_VB05.html,1114,4.94,0.42,0.82,1.86,445.00,430.00,205.29,-53.87,758.40,70.43
07-11-16,PNB Housing Fin,https://www.moneycontrol.com/ipo/pnb-housing-fin_PHF.html,3000,37.33,86.17,1.32,29.53,775.00,860.00,890.60,14.92,677.25,-12.61
19-10-16,Endurance Techn,https://www.moneycontrol.com/ipo/endurance-techn_ET04.html,1161,1.70,0.13,0.82,0.92,472.00,572.00,647.70,37.22,"1,734.00",267.37
04-10-16,HPL Electric & ,https://www.moneycontrol.com/ipo/hpl-electric-and-_HEP.html,361,5.77,22.20,3.31,8.06,202.00,190.00,189.05,-6.41,83.55,-58.64
29-09-16,ICICI Prudentia,https://www.moneycontrol.com/ipo/icici-prudentia_IPL01.html,6057,11.83,28.55,1.42,10.48,334.00,329.00,297.65,-10.88,631.60,89.10
27-09-16,GNA Axles,https://www.moneycontrol.com/ipo/gna-axles_A11.html,130.41,17.18,217.47,11.84,54.88,207.00,252.00,233.45,12.78,651.00,214.49
23-09-16,L&T Technology,https://www.moneycontrol.com/ipo/landt-technology_LTS.html,900,5.01,1.03,1.74,2.52,860.00,900.00,865.10,0.59,"3,720.00",332.56
31-08-16,RBL Bank,https://www.moneycontrol.com/ipo/rbl-bank_RB02.html,1100,85.08,198.06,5.70,69.62,225.00,274.40,299.30,33.02,192.95,-14.24
12-08-16,S P Apparels,https://www.moneycontrol.com/ipo/s-p-apparels_A09.html,215,1.00,0.45,0.54,0.66,268.00,275.00,295.00,10.07,324.05,20.91
11-08-16,Dilip Buildcon,https://www.moneycontrol.com/ipo/dilip-buildcon_DB03.html,430,0.00,0.00,0.00,0.00,219.00,240.00,251.95,15.05,560.00,155.71
01-08-16,Advanced Enzyme,https://www.moneycontrol.com/ipo/advanced-enzyme_AET02.html,60,94.03,393.10,11.67,116.02,896.00,1210.00,235.66,-73.7,399.45,-55.42
21-07-16,L&T Infotech,https://www.moneycontrol.com/ipo/landt-infotech_LI09.html,1242,19.91,10.76,7.39,11.69,710.00,667.00,697.65,-1.74,"4,684.80",559.83
12-07-16,Quess Corp,https://www.moneycontrol.com/ipo/quess-corp_QC.html,400,59.02,392.21,31.23,143.99,317.00,500.00,503.00,58.68,867.20,173.56
01-07-16,Mahanagar Gas,https://www.moneycontrol.com/ipo/mahanagar-gas_MG02.html,1039.64,72.84,191.61,6.82,64.54,421.00,540.00,519.90,23.49,"1,165.95",176.95
19-05-16,Parag Milk Food,https://www.moneycontrol.com/ipo/parag-milk-food_PMF01.html,764.3,1.15,3.08,2.12,1.83,215.00,230.00,247.80,15.26,138.55,-35.56
10-05-16,Ujjivan Financi,https://www.moneycontrol.com/ipo/ujjivan-financi_UFS01.html,358.16,33.84,135.45,4.02,40.68,210.00,231.90,231.60,10.29,239.75,14.17
09-05-16,Thyrocare Techn,https://www.moneycontrol.com/ipo/thyrocare-techn_TT14.html,479.21,73.18,225.30,8.73,73.55,446.00,662.00,618.10,38.59,"1,306.50",192.94
21-04-16,Equitas Holding,https://www.moneycontrol.com/ipo/equitas-holding_EH03.html,2159,14.93,57.29,1.40,17.21,110.00,145.10,135.25,22.95,128.50,16.82
01-04-16,Bharat Wire Rop,https://www.moneycontrol.com/ipo/bharat-wire-rop_BWR01.html,70,1.01,2.02,2.08,1.21,45.00,47.25,45.40,0.89,79.05,75.67
18-02-16,Quick Heal Tech,https://www.moneycontrol.com/ipo/quick-heal-tech_QHT.html,450,4.34,36.69,3.82,10.80,321.00,305.00,254.45,-20.73,303.25,-5.53
12-02-16,TeamLease Ser.,https://www.moneycontrol.com/ipo/teamlease-ser._TS15.html,273.68,26.97,185.24,10.61,66.02,850.00,860.00,1021.95,20.23,"4,256.05",400.71
08-02-16,Precision Camsh,https://www.moneycontrol.com/ipo/precision-camsh_PC24.html,410,2.62,0.73,2.01,1.91,186.00,165.00,177.25,-4.7,109.05,-41.37
06-01-16,Narayana Hruda,https://www.moneycontrol.com/ipo/narayana-hruda_NH.html,613,0.01,0.01,0.13,0.07,250.00,291.00,336.70,34.68,489.00,95.60
23-12-15,Dr Lal PathLab,https://www.moneycontrol.com/ipo/dr-lal-pathlab_DLP01.html,638,63.56,61.28,4.24,33.41,550.00,717.00,824.15,49.85,"3,554.55",546.28
23-12-15,Alkem Lab,https://www.moneycontrol.com/ipo/alkem-lab_AL16.html,1349.6,57.19,129.96,3.17,44.29,1050.00,1380.00,1381.45,31.57,"3,454.55",229.00
16-11-15,S H Kelkar,https://www.moneycontrol.com/ipo/s-h-kelkar_KC17.html,200,0.00,0.00,0.00,0.00,180.00,216.00,207.30,15.17,169.10,-6.06
10-11-15,Interglobe Avi,https://www.moneycontrol.com/ipo/interglobe-avi_IA05.html,3000,17.80,3.57,0.92,6.15,765.00,868.00,878.45,14.83,"1,668.00",118.04
02-11-15,Coffee Day,https://www.moneycontrol.com/ipo/coffee-day_CDE.html,1150,4.39,0.54,0.90,1.82,328.00,313.00,270.15,-17.64,41.00,-87.50
21-09-15,Prabhat Dairy,https://www.moneycontrol.com/ipo/prabhat-dairy_PD07.html,300,0.88,1.42,0.34,0.77,115.00,113.00,116.35,1.17,99.65,-13.35
16-09-15,Sadbhav Infra,https://www.moneycontrol.com/ipo/sadbhav-infra_SIP.html,425,3.04,1.66,1.69,2.24,103.00,111.00,106.15,3.06,28.40,-72.43
10-09-15,Shree Pushkar,https://www.moneycontrol.com/ipo/shree-pushkar_SPC03.html,70,0.97,2.09,1.54,1.34,65.00,60.05,63.00,-3.08,172.80,165.85
10-09-15,Pennar Eng,https://www.moneycontrol.com/ipo/pennar-eng_PEB.html,156.19,0.00,0.04,0.11,0.07,178.00,177.95,157.50,-11.52,63.85,-64.13
09-09-15,Navkar Corp,https://www.moneycontrol.com/ipo/navkar-corp_NC09.html,600,6.47,0.90,1.62,2.85,155.00,152.00,166.40,7.35,49.45,-68.10
26-08-15,Power Mech,https://www.moneycontrol.com/ipo/power-mech_PMP.html,273.22,27.53,133.22,3.42,38.12,640.00,600.00,585.75,-8.48,815.00,27.34
11-08-15,Syngene Intl,https://www.moneycontrol.com/ipo/syngene-intl_SI62.html,550,51.47,90.24,4.78,32.05,250.00,295.00,155.20,-37.92,637.75,155.10
09-07-15,Manpasand Bever,https://www.moneycontrol.com/ipo/manpasand-bever_MB03.html,400,1.99,0.38,1.16,1.40,320.00,291.00,163.43,-48.93,6.14,-98.08
26-05-15,PNC Infratech,https://www.moneycontrol.com/ipo/pnc-infratech_PI29.html,488,4.51,0.65,0.28,1.56,378.00,381.00,72.04,-80.94,314.20,-16.88
14-05-15,UFO Moviez,https://www.moneycontrol.com/ipo/ufo-moviez_UMI03.html,600,4.49,1.17,1.02,2.04,625.00,600.00,598.80,-4.19,105.75,-83.08
06-05-15,MEP Infra,https://www.moneycontrol.com/ipo/mep-infra_MID.html,324,1.02,1.51,0.97,1.11,63.00,63.00,60.95,-3.25,23.20,-63.17
30-04-15,VRL Logistics,https://www.moneycontrol.com/ipo/vrl-logistics_VL08.html,473.88,58.22,250.86,7.92,74.26,205.00,288.00,293.30,43.07,303.65,48.12
09-04-15,Inox Wind,https://www.moneycontrol.com/ipo/inox-wind_IW.html,700,35.68,35.38,2.15,18.60,325.00,400.00,438.00,34.77,141.90,-56.34
06-04-15,Imagicaaworld,https://www.moneycontrol.com/ipo/imagicaaworld_AE16.html,467,1.17,0.49,1.37,1.11,180.00,167.95,191.25,6.25,8.64,-95.20
19-03-15,Ortel Comm,https://www.moneycontrol.com/ipo/ortel-comm_OC13.html,240,1.01,0.09,0.39,0.75,181.00,181.00,171.95,-5,1.29,-99.29
19-12-14,Monte Carlo,https://www.moneycontrol.com/ipo/monte-carlo_MC19.html,342.28,13.96,1.71,6.96,7.83,645.00,585.00,566.40,-12.19,379.80,-41.12
01-10-14,Shemaroo Ent,https://www.moneycontrol.com/ipo/shemaroo-ent_SE22.html,120,5.69,8.64,7.79,7.39,170.00,180.00,171.00,0.59,127.10,-25.24
23-09-14,Sharda Crop,https://www.moneycontrol.com/ipo/sharda-crop_SC47.html,352,32.06,251.35,5.85,59.97,156.00,254.10,231.45,48.37,347.90,123.01
12-09-14,Snowman Logist,https://www.moneycontrol.com/ipo/snowman-logist_SL16.html,197.4,16.98,221.79,41.26,59.75,47.00,75.00,78.75,67.55,50.50,7.45
